"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Other personal service activities ",96,31,14.14,8.7,16.30,3.7,11.44,11.68,12.00,12.26,13.14,15.25,16.18,18.30,19.52,x,,,,,,,,
"SOUTH EAST, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,11,14.02,11.7,16.59,23.4,11.44,11.98,12.13,12.53,13.53,14.99,16.63,17.32,x,x,,,,,,,,
"SOUTH EAST, Activities of households as employers of domestic personnel ",97,11,14.02,11.7,16.59,23.4,11.44,11.98,12.13,12.53,13.53,14.99,16.63,17.32,x,x,,,,,,,,
"SOUTH EAST, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,..,,,,,,,,,,,,,,,,,,,,,,
"SOUTH EAST, Activities of extraterritorial organisations and bodies ",99,..,,,,,,,,,,,,,,,,,,,,,,
South West All Industries and Services,,"2,316",16.23,6.5,19.86,5.8,11.57,12.38,12.80,13.32,14.57,18.29,21.11,22.72,24.94,31.40,,,,,,,,
South West All Index of Production Industries,,259,18.29,5.4,21.46,6.0,12.36,13.72,14.31,14.93,16.56,20.43,23.24,24.90,26.95,34.45,,,,,,,,
South West All Manufacturing,,222,18.19,5.5,21.30,7.2,12.27,13.62,14.26,14.89,16.33,20.13,23.00,24.62,26.70,33.91,,,,,,,,
South West All Service Industries,,"1,936",15.82,6.4,19.59,5.7,11.52,12.23,12.60,13.06,14.32,18.02,20.73,22.49,24.57,30.78,,,,,,,,
"SOUTH WEST, AGRICULTURE, FORESTRY AND FISHING ",A,20,13.25,3.0,16.11,6.7,11.44,11.96,12.05,12.28,12.82,14.07,14.96,15.52,16.37,x,,,,,,,,
"SOUTH WEST, Crop and animal production, hunting and related service activities ",1,18,13.03,7.4,15.79,7.4,11.44,11.88,12.00,12.13,12.52,13.51,14.49,14.97,x,x,,,,,,,,
"SOUTH WEST, Forestry and logging ",2,x,17.10,0.4,19.39,5.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Fishing and aquaculture ",3,x,15.14,,15.96,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, MINING AND QUARRYING ",B,x,x,,23.81,8.5,x,x,x,x,20.14,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Extraction of crude petroleum and natural gas ",6,x,x,,28.83,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Other mining and quarrying ",8,x,20.07,19.0,22.50,10.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Mining support service activities ",9,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, MANUFACTURING ",C,222,18.19,5.5,21.30,7.2,12.27,13.62,14.26,14.89,16.33,20.13,23.00,24.62,26.70,33.91,,,,,,,,
"SOUTH WEST, Manufacture of food products ",10,22,14.15,5.4,16.94,7.2,11.60,12.31,12.45,12.80,13.52,15.36,16.71,17.26,x,x,,,,,,,,
"SOUTH WEST, Manufacture of beverages ",11,x,13.85,5.7,15.05,-1.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Manufacture of textiles ",13,x,x,,21.62,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of wearing apparel ",14,x,11.40,,11.65,-35.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of leather and related products ",15,x,12.55,15.6,13.38,9.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,13.00,8.2,15.51,19.5,x,x,11.91,12.02,12.44,13.92,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of paper and paper products ",17,x,16.21,-3.5,19.12,3.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Printing and reproduction of recorded media ",18,7,15.42,2.3,21.58,29.5,x,12.14,12.45,13.00,14.17,16.73,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of coke and refined petroleum products ",19,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Manufacture of chemicals and chemical products ",20,x,20.16,26.3,23.49,22.3,x,x,15.35,15.54,19.41,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,17.54,2.1,18.86,-2.4,x,x,x,16.57,17.02,18.17,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of rubber and plastic products ",22,13,15.28,6.5,19.49,13.9,11.61,12.45,12.77,13.26,14.19,17.85,20.47,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of other non-metallic mineral products ",23,5,15.04,1.3,21.26,21.7,x,x,13.19,14.16,14.65,15.65,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of basic metals ",24,x,x,,18.72,12.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of fabricated metal products, except machinery and equipment ",25,23,17.51,7.8,20.62,8.3,12.48,13.66,14.51,15.00,16.00,18.39,19.91,21.31,x,x,,,,,,,,
"SOUTH WEST, Manufacture of computer, electronic and optical products ",26,17,22.74,-2.7,25.39,3.5,12.66,14.87,15.27,16.60,18.91,26.51,27.40,28.83,x,x,,,,,,,,
"SOUTH WEST, Manufacture of electrical equipment ",27,14,16.32,-2.7,20.43,1.8,12.84,13.72,13.77,14.03,14.78,20.51,22.22,24.60,x,x,,,,,,,,
"SOUTH WEST, Manufacture of machinery and equipment n.e.c. ",28,21,19.69,4.1,22.79,2.3,13.75,14.72,15.38,15.80,17.83,21.26,22.61,24.44,x,x,,,,,,,,
"SOUTH WEST, Manufacture of motor vehicles, trailers and semi-trailers ",29,x,18.35,17.5,20.45,16.0,x,x,15.65,16.02,16.95,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Manufacture of other transport equipment ",30,48,23.33,1.6,24.46,2.7,15.34,17.92,18.68,19.56,21.27,24.79,26.81,28.51,30.48,x,,,,,,,,
"SOUTH WEST, Manufacture of furniture ",31,6,16.06,17.3,16.65,14.5,x,12.70,13.00,13.37,14.29,16.75,18.05,x,x,x,,,,,,,,
"SOUTH WEST, Other manufacturing ",32,10,16.27,5.0,21.58,10.5,x,12.79,13.02,13.26,14.57,18.44,x,x,x,x,,,,,,,,
"SOUTH WEST, Repair and installation of machinery and equipment ",33,7,17.73,4.4,19.42,2.5,x,14.22,14.25,14.33,16.01,18.96,x,x,x,x,,,,,,,,
"SOUTH WEST, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,13,22.90,-4.3,26.52,1.5,14.11,17.10,17.83,18.59,20.12,25.73,29.98,x,x,x,,,,,,,,
"SOUTH WEST, Electricity, gas, steam and air conditioning supply ",35,13,22.90,-4.3,26.52,1.5,14.11,17.10,17.83,18.59,20.12,25.73,29.98,x,x,x,,,,,,,,
"SOUTH WEST, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,21,16.60,-1.3,19.71,0.8,12.04,12.94,13.62,14.16,15.21,18.73,20.98,22.38,x,x,,,,,,,,
"SOUTH WEST, Water collection, treatment and supply ",36,6,19.24,4.3,23.49,4.1,x,15.23,16.29,16.75,17.79,22.29,x,x,x,x,,,,,,,,
"SOUTH WEST, Sewerage ",37,x,x,,21.28,-8.9,x,x,x,13.82,15.39,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Waste collection, treatment and disposal activities; materials recovery ",38,11,15.03,6.9,17.38,-0.5,11.93,12.43,12.72,12.93,14.21,16.33,18.98,x,x,x,,,,,,,,
"SOUTH WEST, Remediation activities and other waste management services ",39,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, CONSTRUCTION ",F,102,17.82,8.0,20.64,8.4,12.03,13.55,14.31,15.00,16.33,19.33,21.55,23.72,26.20,33.47,,,,,,,,
"SOUTH WEST, Construction of buildings ",41,29,19.47,7.9,22.95,6.4,12.48,14.02,15.00,15.57,17.13,21.23,26.52,29.15,30.37,x,,,,,,,,
"SOUTH WEST, Civil engineering ",42,18,19.00,18.7,21.99,12.1,12.81,14.10,15.95,16.05,17.30,21.23,24.98,26.35,29.27,x,,,,,,,,
"SOUTH WEST, Specialised construction activities ",43,54,16.85,4.8,18.96,8.8,11.79,13.18,13.92,14.38,15.45,18.14,19.89,20.75,22.49,x,,,,,,,,
"SOUTH WEST, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,306,13.18,7.6,16.66,7.5,11.44,11.55,11.76,12.00,12.49,14.28,15.83,16.94,18.31,24.00,,,,,,,,
"SOUTH WEST, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,42,14.90,8.0,16.32,5.7,11.44,11.98,12.31,12.70,13.75,15.69,16.87,17.38,18.02,x,,,,,,,,
"SOUTH WEST, Wholesale trade, except of motor vehicles and motorcycles ",46,84,16.63,11.1,19.93,7.8,11.95,12.72,13.25,13.71,14.73,18.49,21.49,23.32,25.90,x,,,,,,,,
"SOUTH WEST, Retail trade, except of motor vehicles and motorcycles ",47,180,12.27,8.9,14.67,7.3,11.03,11.44,11.50,11.55,11.97,12.71,13.60,14.24,15.18,18.34,,,,,,,,
"SOUTH WEST, TRANSPORTATION AND STORAGE ",H,82,15.46,5.8,18.37,5.5,12.30,13.12,13.72,14.30,14.75,16.59,17.93,19.18,21.26,x,,,,,,,,
"SOUTH WEST, Land transport and transport via pipelines ",49,35,15.73,7.7,17.56,3.7,12.30,13.36,13.72,14.31,15.03,16.75,17.56,18.27,19.71,x,,,,,,,,
"SOUTH WEST, Water transport ",50,x,x,,20.32,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Air transport ",51,..,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Warehousing and support activities for transportation ",52,27,16.14,8.5,20.68,8.1,12.23,13.00,13.26,13.96,14.84,18.44,21.86,23.76,x,x,,,,,,,,
"SOUTH WEST, Postal and courier activities ",53,19,14.62,3.4,16.64,3.2,12.54,13.58,14.13,14.32,14.45,15.00,16.22,17.09,17.56,x,,,,,,,,
"SOUTH WEST, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,146,12.04,8.9,13.97,9.0,9.31,11.44,11.44,11.45,11.70,12.75,13.69,14.29,14.91,17.36,,,,,,,,
"SOUTH WEST, Accommodation ",55,42,12.55,4.6,14.20,4.6,10.17,11.44,11.47,11.60,12.04,13.33,14.15,14.75,15.15,x,,,,,,,,
"SOUTH WEST, Food and beverage service activities ",56,104,12.00,10.9,13.87,11.4,9.00,11.34,x,11.44,11.59,12.49,13.43,14.00,14.68,16.95,,,,,,,,
"SOUTH WEST, INFORMATION AND COMMUNICATION ",J,80,22.44,7.3,25.35,6.6,12.95,14.88,16.18,17.50,19.93,25.29,28.77,30.66,34.11,x,,,,,,,,
"SOUTH WEST, Publishing activities ",58,6,17.71,2.5,20.74,-3.7,x,13.45,13.81,15.05,17.44,19.58,x,x,x,x,,,,,,,,
"SOUTH WEST, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,17.45,,19.03,-17.9,x,x,13.02,13.82,15.28,19.27,x,x,x,x,,,,,,,,
"SOUTH WEST, Programming and broadcasting activities ",60,..,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Telecommunications ",61,16,20.87,2.5,23.29,5.0,12.30,16.32,17.36,18.73,19.54,23.11,26.52,27.55,x,x,,,,,,,,
"SOUTH WEST, Computer programming, consultancy and related activities ",62,48,24.54,10.1,27.50,10.0,13.80,15.51,16.90,19.10,21.82,28.26,31.14,35.17,36.58,x,,,,,,,,
"SOUTH WEST, Information service activities ",63,x,20.18,-6.0,22.79,-3.7,x,x,x,x,17.71,x,x,x,x,x,,,,,,,,
"SOUTH WEST, FINANCIAL AND INSURANCE ACTIVITIES ",K,80,20.96,3.9,25.09,0.8,13.09,14.92,16.08,17.02,19.16,23.86,27.59,29.62,33.71,x,,,,,,,,
"SOUTH WEST, Financial service activities, except insurance and pension funding ",64,35,24.27,-1.5,28.53,-3.3,13.42,16.68,17.45,18.90,21.37,28.23,34.43,37.49,40.19,x,,,,,,,,
"SOUTH WEST, Insurance, reinsurance and pension funding, except compulsory social security ",65,14,19.77,-1.2,24.06,-1.2,13.22,14.29,15.67,16.54,18.59,21.79,24.51,x,x,x,,,,,,,,
"SOUTH WEST, Activities auxiliary to financial services and insurance activities ",66,32,19.50,10.8,21.82,8.8,12.70,14.13,14.90,15.54,17.67,21.18,23.81,25.15,27.33,x,,,,,,,,
"SOUTH WEST, REAL ESTATE ACTIVITIES ",L,34,16.38,2.0,20.13,1.1,12.02,12.79,13.35,14.00,15.28,17.97,19.64,21.05,23.67,x,,,,,,,,
"SOUTH WEST, Real estate activities ",68,34,16.38,2.0,20.13,1.1,12.02,12.79,13.35,14.00,15.28,17.97,19.64,21.05,23.67,x,,,,,,,,
"SOUTH WEST, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,175,19.63,6.1,23.22,8.0,12.39,13.80,14.80,15.50,17.36,22.07,25.23,27.50,29.68,36.27,,,,,,,,
"SOUTH WEST, Legal and accounting activities ",69,54,17.91,0.2,23.91,10.4,12.02,13.06,13.69,14.77,16.21,21.01,25.83,28.24,31.33,x,,,,,,,,
"SOUTH WEST, Activities of head offices; management consultancy activities ",70,27,18.21,-1.3,23.30,9.5,11.98,13.42,13.93,14.38,16.07,22.11,24.98,27.90,x,x,,,,,,,,
"SOUTH WEST, Architectural and engineering activities; technical testing and analysis ",71,47,20.85,3.8,23.44,5.5,13.61,15.57,16.63,17.38,19.22,22.35,25.68,27.44,29.58,x,,,,,,,,
"SOUTH WEST, Scientific research and development ",72,16,23.43,4.1,25.63,5.8,13.08,16.20,18.12,19.51,22.14,26.07,28.02,30.00,x,x,,,,,,,,
"SOUTH WEST, Advertising and market research ",73,10,19.15,8.9,21.80,12.1,x,13.80,15.00,15.33,17.54,21.02,22.36,x,x,x,,,,,,,,
"SOUTH WEST, Other professional, scientific and technical activities ",74,13,19.51,15.5,21.62,17.7,12.07,13.60,14.47,15.28,18.28,21.05,22.46,x,x,x,,,,,,,,
"SOUTH WEST, Veterinary activities ",75,8,14.73,-6.8,16.21,-10.0,x,11.75,12.20,12.83,13.54,15.70,17.08,x,x,x,,,,,,,,
"SOUTH WEST, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,118,14.36,6.5,18.31,8.1,11.45,12.00,12.17,12.58,13.28,15.86,17.45,18.60,20.77,29.97,,,,,,,,
"SOUTH WEST, Rental and leasing activities ",77,14,16.26,12.0,18.07,2.3,11.84,12.60,13.00,13.38,14.55,17.40,18.87,20.58,x,x,,,,,,,,
"SOUTH WEST, Employment activities ",78,45,14.65,7.0,18.93,10.8,11.55,12.38,12.80,13.00,13.65,16.04,17.65,19.45,22.74,x,,,,,,,,
"SOUTH WEST, Travel agency, tour operator and other reservation service and related activities ",79,x,13.28,2.7,18.32,17.3,x,x,x,12.62,12.77,13.66,x,x,x,x,,,,,,,,
"SOUTH WEST, Security and investigation activities ",80,5,14.47,1.1,23.23,,x,12.94,13.00,13.32,14.01,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Services to buildings and landscape activities ",81,25,12.27,6.7,15.11,10.2,11.44,11.46,11.52,11.73,12.00,13.02,14.36,15.44,16.75,x,,,,,,,,
"SOUTH WEST, Office administrative, office support and other business support activities ",82,24,15.33,-1.3,19.27,2.5,11.44,12.00,12.33,12.74,14.38,17.08,18.04,20.70,x,x,,,,,,,,
"SOUTH WEST, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,151,18.50,2.8,20.51,4.4,12.84,14.10,14.83,15.45,16.97,20.21,22.36,23.52,24.63,29.43,,,,,,,,
"SOUTH WEST, Public administration and defence; compulsory social security ",84,151,18.50,2.8,20.51,4.4,12.84,14.10,14.83,15.45,16.97,20.21,22.36,23.52,24.63,29.43,,,,,,,,
"SOUTH WEST, EDUCATION ",P,284,19.57,9.6,22.21,8.4,12.25,13.45,14.08,14.86,17.35,22.61,25.57,27.44,28.75,33.51,,,,,,,,
"SOUTH WEST, Education ",85,284,19.57,9.6,22.21,8.4,12.25,13.45,14.08,14.86,17.35,22.61,25.57,27.44,28.75,33.51,,,,,,,,
"SOUTH WEST, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,387,15.67,5.0,18.69,4.1,11.67,12.30,12.58,12.97,14.13,18.05,20.70,21.93,23.52,28.74,,,,,,,,
"SOUTH WEST, Human health activities ",86,251,18.10,5.8,20.77,5.1,12.00,12.97,13.94,14.53,16.13,20.45,22.47,23.91,25.60,30.82,,,,,,,,
"SOUTH WEST, Residential care activities ",87,75,12.95,6.8,14.54,3.8,11.44,11.75,11.92,12.00,12.39,13.66,14.72,15.46,16.88,x,,,,,,,,
"SOUTH WEST, Social work activities without accommodation ",88,61,13.35,1.6,15.74,3.2,11.47,11.94,12.04,12.25,12.76,14.22,15.77,16.86,18.29,x,,,,,,,,
"SOUTH WEST, ARTS, ENTERTAINMENT AND RECREATION ",R,47,13.25,8.5,15.42,8.7,10.40,11.45,11.75,12.00,12.71,14.84,16.16,16.96,17.34,x,,,,,,,,
"SOUTH WEST, Creative, arts and entertainment activities ",90,x,16.34,9.1,18.34,19.9,x,x,x,13.38,15.93,16.74,x,x,x,x,,,,,,,,
"SOUTH WEST, Libraries, archives, museums and other cultural activities ",91,11,14.98,10.1,16.54,6.3,11.44,12.20,12.57,12.95,14.02,15.60,17.13,17.53,x,x,,,,,,,,
"SOUTH WEST, Gambling and betting activities ",92,x,12.52,11.5,12.98,5.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Sports activities and amusement and recreation activities ",93,29,12.77,9.4,14.46,7.9,8.82,11.42,11.44,11.50,12.09,13.42,15.04,15.95,16.96,x,,,,,,,,
"SOUTH WEST, OTHER SERVICE ACTIVITIES ",S,39,13.97,3.2,17.37,2.1,11.47,11.70,11.95,12.30,12.93,15.31,16.45,17.67,19.60,x,,,,,,,,
"SOUTH WEST, Activities of membership organisations ",94,23,14.81,4.2,18.21,-2.0,11.50,11.97,12.35,12.80,13.76,15.95,17.24,19.32,x,x,,,,,,,,
"SOUTH WEST, Repair of computers and personal and household goods ",95,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SOUTH WEST, Other personal service activities ",96,15,12.63,5.2,15.03,7.0,11.44,11.50,11.53,11.74,12.26,13.54,15.16,15.48,x,x,,,,,,,,
"SOUTH WEST, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,6,13.75,20.6,14.64,15.0,x,11.96,12.18,12.51,12.91,14.00,14.74,x,x,x,,,,,,,,
"SOUTH WEST, Activities of households as employers of domestic personnel ",97,6,13.75,20.6,14.64,15.0,x,11.96,12.18,12.51,12.91,14.00,14.74,x,x,x,,,,,,,,
"SOUTH WEST, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"SOUTH WEST, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
Wales All Industries and Services,,"1,233",15.85,6.5,19.09,6.0,11.58,12.20,12.62,13.05,14.30,17.97,20.37,22.06,23.75,29.54,,,,,,,,
Wales All Index of Production Industries,,137,17.99,6.8,19.70,5.2,12.00,13.12,13.73,14.45,15.87,19.75,22.28,23.44,24.90,28.86,,,,,,,,
Wales All Manufacturing,,124,17.70,6.9,19.57,5.8,11.99,13.03,13.53,14.22,15.58,19.56,22.01,23.31,24.68,28.86,,,,,,,,
Wales All Service Industries,,"1,054",15.51,6.5,18.99,5.9,11.54,12.11,12.50,12.92,14.03,17.69,20.13,21.85,23.51,29.75,,,,,,,,
"WALES, AGRICULTURE, FORESTRY AND FISHING ",A,x,13.66,9.2,14.48,5.0,x,x,x,12.17,12.50,14.00,x,x,x,x,,,,,,,,
"WALES, Crop and animal production, hunting and related service activities ",1,x,12.64,-1.9,14.67,4.0,x,x,x,12.02,12.49,14.16,x,x,x,x,,,,,,,,
"WALES, Forestry and logging ",2,x,13.87,18.1,13.89,10.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, MINING AND QUARRYING ",B,..,,,,,,,,,,,,,,,,,,,,,,
"WALES, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Other mining and quarrying ",8,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"WALES, MANUFACTURING ",C,124,17.70,6.9,19.57,5.8,11.99,13.03,13.53,14.22,15.58,19.56,22.01,23.31,24.68,28.86,,,,,,,,
"WALES, Manufacture of food products ",10,16,13.05,2.1,15.41,3.2,11.44,11.57,11.74,12.00,12.61,13.93,15.21,16.10,x,x,,,,,,,,
"WALES, Manufacture of beverages ",11,x,12.39,-7.2,12.26,-24.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Manufacture of textiles ",13,x,12.67,-0.2,14.61,-5.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of wearing apparel ",14,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Manufacture of leather and related products ",15,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,15.29,4.8,16.97,5.2,x,x,x,x,14.37,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of paper and paper products ",17,x,14.98,,17.24,-30.4,x,x,x,14.20,14.73,16.44,x,x,x,x,,,,,,,,
"WALES, Printing and reproduction of recorded media ",18,x,15.97,2.4,17.04,7.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of coke and refined petroleum products ",19,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Manufacture of chemicals and chemical products ",20,x,16.31,12.4,18.91,18.6,x,x,x,14.96,15.35,17.38,x,x,x,x,,,,,,,,
"WALES, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,20.16,24.0,24.31,50.2,x,x,x,18.50,19.31,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of rubber and plastic products ",22,9,15.97,4.8,17.78,2.6,x,12.79,13.17,13.34,13.99,18.17,20.44,x,x,x,,,,,,,,
"WALES, Manufacture of other non-metallic mineral products ",23,x,x,,21.99,39.3,x,x,x,14.53,16.40,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of basic metals ",24,13,19.86,1.6,20.49,1.6,15.02,17.52,18.16,18.39,19.11,21.39,22.63,23.28,x,x,,,,,,,,
"WALES, Manufacture of fabricated metal products, except machinery and equipment ",25,14,16.65,0.1,18.91,4.0,12.00,13.12,13.73,14.46,15.07,18.64,21.18,22.13,x,x,,,,,,,,
"WALES, Manufacture of computer, electronic and optical products ",26,7,17.61,-1.3,20.42,-4.8,x,x,14.52,14.88,16.54,18.85,x,x,x,x,,,,,,,,
"WALES, Manufacture of electrical equipment ",27,6,18.05,5.3,19.67,-5.4,x,13.51,14.32,14.90,15.71,18.90,x,x,x,x,,,,,,,,
"WALES, Manufacture of machinery and equipment n.e.c. ",28,x,24.04,,26.45,17.2,x,x,x,x,19.02,x,x,x,x,x,,,,,,,,
"WALES, Manufacture of motor vehicles, trailers and semi-trailers ",29,7,18.36,19.9,20.84,24.0,x,13.25,13.66,14.28,15.59,22.46,23.54,x,x,x,,,,,,,,
"WALES, Manufacture of other transport equipment ",30,14,24.48,9.8,24.82,7.6,15.59,18.44,20.09,22.23,23.30,25.70,26.73,27.53,x,x,,,,,,,,
"WALES, Manufacture of furniture ",31,x,13.81,4.2,18.82,34.7,x,x,12.48,12.55,12.88,x,x,x,x,x,,,,,,,,
"WALES, Other manufacturing ",32,x,13.77,-20.5,16.28,-19.1,x,x,12.19,12.62,13.51,14.21,18.75,x,x,x,,,,,,,,
"WALES, Repair and installation of machinery and equipment ",33,x,19.50,-11.8,19.76,-9.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,6,22.44,2.0,22.54,1.1,x,17.45,18.21,18.60,19.41,23.32,24.94,x,x,x,,,,,,,,
"WALES, Electricity, gas, steam and air conditioning supply ",35,6,22.44,2.0,22.54,1.1,x,17.45,18.21,18.60,19.41,23.32,24.94,x,x,x,,,,,,,,
"WALES, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,7,17.31,2.6,19.12,6.6,x,12.87,13.68,14.53,15.32,19.12,x,x,x,x,,,,,,,,
"WALES, Water collection, treatment and supply ",36,x,13.02,1.6,14.04,2.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Sewerage ",37,..,,,,,,,,,,,,,,,,,,,,,,
"WALES, Waste collection, treatment and disposal activities; materials recovery ",38,6,17.53,2.1,19.48,6.3,x,12.97,13.66,14.50,15.54,19.21,x,x,x,x,,,,,,,,
"WALES, Remediation activities and other waste management services ",39,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, CONSTRUCTION ",F,38,17.08,7.0,19.62,10.8,12.00,13.21,13.90,14.30,15.66,18.30,19.97,20.83,22.69,x,,,,,,,,
"WALES, Construction of buildings ",41,13,18.42,3.7,22.57,10.3,12.41,13.64,14.21,14.52,17.19,20.56,23.87,x,x,x,,,,,,,,
"WALES, Civil engineering ",42,8,17.03,2.6,19.07,5.9,x,13.51,13.84,15.00,16.16,17.88,x,x,x,x,,,,,,,,
"WALES, Specialised construction activities ",43,17,16.01,10.5,17.66,12.9,11.83,12.56,13.50,14.00,15.30,17.05,18.97,19.56,x,x,,,,,,,,
"WALES, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,141,12.69,6.1,16.06,10.0,11.32,11.48,11.57,11.75,12.12,13.68,15.26,16.19,17.29,23.77,,,,,,,,
"WALES, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,19,14.45,6.8,16.82,6.4,11.44,11.76,12.07,12.50,13.50,15.89,16.50,16.80,x,x,,,,,,,,
